short_id,scene_id,family,target_id,expected_decision,retrieve_count,rearrange_count,correct_count,outcome,majority_decision,branch_logit_retrieve_TR,branch_logit_rearrange_ARR,branch_margin_retrieve_minus_rearrange,branch_two_way_probability_retrieve
C1,scene_fc_clear_v01,FC_CLEAR,53,RETRIEVE_NOW,5,0,5,all_correct,RETRIEVE_NOW,24.25,21.625,2.625,0.9324532747268677
C2,scene_fc_clear_v02,FC_CLEAR,29,RETRIEVE_NOW,5,0,5,all_correct,RETRIEVE_NOW,24.375,20.875,3.5,0.970687747001648
C3,scene_fc_clear_v03,FC_CLEAR,95,RETRIEVE_NOW,5,0,5,all_correct,RETRIEVE_NOW,24.0,20.125,3.875,0.9796676635742188
C4,scene_fc_clear_v04,FC_CLEAR,61,RETRIEVE_NOW,5,0,5,all_correct,RETRIEVE_NOW,25.0,21.25,3.75,0.977022647857666
C5,scene_fc_clear_v05,FC_CLEAR,62,RETRIEVE_NOW,5,0,5,all_correct,RETRIEVE_NOW,24.0,22.125,1.875,0.8670357465744019
B1,scene_fc_blocked_v01,FC_BLOCKED,64,REARRANGE_FIRST,5,0,0,all_wrong,RETRIEVE_NOW,24.25,24.0,0.25,0.562176525592804
B2,scene_fc_blocked_v02,FC_BLOCKED,53,REARRANGE_FIRST,4,1,1,mixed,RETRIEVE_NOW,24.5,23.25,1.25,0.7772998809814453
B3,scene_fc_blocked_v03,FC_BLOCKED,12,REARRANGE_FIRST,5,0,0,all_wrong,RETRIEVE_NOW,24.0,23.375,0.625,0.6513549089431763
B4,scene_fc_blocked_v04,FC_BLOCKED,89,REARRANGE_FIRST,2,3,3,mixed,REARRANGE_FIRST,23.875,22.375,1.5,0.8175744414329529
B5,scene_fc_blocked_v05,FC_BLOCKED,59,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,24.375,24.125,0.25,0.562176525592804
T1,scene_translate_v01,TRANSLATE,67,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,22.875,27.5,-4.625,0.00970847625285387
T2,scene_translate_v02,TRANSLATE,45,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,22.875,26.375,-3.5,0.02931223064661026
T3,scene_translate_v03,TRANSLATE,18,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,24.125,23.25,0.875,0.7057850360870361
T4,scene_translate_v04,TRANSLATE,13,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.625,24.75,-1.125,0.24508501589298248
T5,scene_translate_v05,TRANSLATE,54,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.75,23.5,0.25,0.562176525592804
R1,scene_rotate_v01,ROTATE,12,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.0,23.5,-0.5,0.3775406777858734
R2,scene_rotate_v02,ROTATE,38,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.125,23.0,0.125,0.531209409236908
R3,scene_rotate_v03,ROTATE,83,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.0,23.25,-0.25,0.4378235340118408
R4,scene_rotate_v04,ROTATE,47,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.5,23.25,0.25,0.562176525592804
R5,scene_rotate_v05,ROTATE,44,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.0,23.125,-0.125,0.4687906503677368
L1,scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,21.5,24.5,-3.0,0.04742587357759476
L2,scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.625,25.375,-1.75,0.14804719388484955
L3,scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,22.875,24.875,-2.0,0.11920291185379028
L4,scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,68,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.375,26.25,-2.875,0.053403329104185104
L5,scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.125,24.625,-1.5,0.18242551386356354
